query_id,program_id,in_production,production_rank,in_final,final_rank,in_keyword,keyword_rank,keyword_score,in_broad,broad_rank,broad_score,broad_matched_groups,in_expected
Q01,BIZINFO:PBLN_000000000118556,false,,false,,true,10,4,false,,,,false
Q01,BIZINFO:PBLN_000000000119038,false,,false,,true,7,4,false,,,,false
Q01,BIZINFO:PBLN_000000000121478,false,,false,,false,,,true,3,11,G1:AI | G2:콘텐츠 제작 | G3:지원,false
Q01,BIZINFO:PBLN_000000000121799,false,,false,,true,8,4,false,,,,false
Q01,BIZINFO:PBLN_000000000122551,false,,false,,false,,,true,4,9,G1:AI | G2:홍보물 | G3:비용,false
Q01,BIZINFO:PBLN_000000000122863,false,,false,,true,3,5,true,8,9,G1:AI | G2:홍보 콘텐츠 | G3:지원,false
Q01,BIZINFO:PBLN_000000000122948,false,,false,,false,,,true,15,9,G2:홍보물 | G3:지원,false
Q01,BIZINFO:PBLN_000000000123108,false,,false,,false,,,true,13,9,G1:AI | G3:비용,false
Q01,BIZINFO:PBLN_000000000123596,false,,false,,false,,,true,10,9,G1:AI | G3:비용,false
Q01,BIZINFO:PBLN_000000000123926,false,,false,,false,,,true,11,9,G2:콘텐츠 제작 | G3:지원,false
Q01,BIZINFO:PBLN_000000000125339,false,,false,,false,,,true,14,9,G1:AI | G3:지원,false
Q01,BIZINFO:PBLN_000000000125340,false,,false,,true,5,4,false,,,,false
Q01,BIZINFO:PBLN_000000000125493,false,,false,,false,,,true,6,9,G2:홍보물 | G3:비용,false
Q01,BIZINFO:PBLN_000000000125511,false,,false,,false,,,true,2,11,G2:홍보물 | G3:지원,false
Q01,BIZINFO:PBLN_000000000125560,false,,false,,true,1,9,true,1,13,G1:AI | G2:홍보 컨텐츠 | G3:지원,true
Q01,BIZINFO:PBLN_000000000125718,false,,false,,true,4,5,false,,,,false
Q01,BIZINFO:PBLN_000000000125850,false,,false,,false,,,true,9,9,G1:AI | G3:지원,false
Q01,BIZINFO:PBLN_000000000125890,false,,false,,false,,,true,5,9,G2:콘텐츠 제작 | G3:비용,false
Q01,BIZINFO:PBLN_000000000125962,false,,false,,false,,,true,7,9,G1:AI | G3:비용,false
Q01,BIZINFO:PBLN_000000000126003,false,,false,,true,2,7,true,12,9,G2:홍보 콘텐츠 | G3:지원,false
Q01,BIZINFO:PBLN_000000000126116,false,,false,,true,6,4,false,,,,false
Q01,BIZINFO:PBLN_000000000126161,false,,false,,true,9,4,false,,,,false
Q02,BIZINFO:PBLN_000000000117668,false,,false,,true,8,3,false,,,,false
Q02,BIZINFO:PBLN_000000000120527,false,,false,,true,3,3,false,,,,false
Q02,BIZINFO:PBLN_000000000120871,false,,false,,false,,,true,3,11,G2:AX | G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000122333,false,,false,,true,6,3,false,,,,false
Q02,BIZINFO:PBLN_000000000123291,false,,false,,false,,,true,7,9,G2:AX | G3:실증,false
Q02,BIZINFO:PBLN_000000000125575,false,,false,,true,1,3,false,,,,false
Q02,BIZINFO:PBLN_000000000125775,false,,false,,false,,,true,4,9,G2:AX | G3:실증,false
Q02,BIZINFO:PBLN_000000000125858,false,,false,,false,,,true,2,11,G1:고령친화 | G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000125889,false,,false,,true,4,3,false,,,,false
Q02,BIZINFO:PBLN_000000000125904,false,,false,,false,,,true,8,9,G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000125910,false,,false,,true,2,3,false,,,,false
Q02,BIZINFO:PBLN_000000000125928,false,,false,,false,,,true,5,9,G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000126000,false,,false,,true,7,3,false,,,,false
Q02,BIZINFO:PBLN_000000000126007,false,,false,,true,9,3,false,,,,false
Q02,BIZINFO:PBLN_000000000126026,false,,false,,true,5,3,false,,,,false
Q02,BIZINFO:PBLN_000000000126050,false,,false,,false,,,true,9,9,G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000126131,false,,false,,false,,,true,6,9,G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000126166,false,,false,,false,,,true,10,8,G3:실증 | G4:사업화,false
Q02,BIZINFO:PBLN_000000000126187,false,,false,,true,10,3,true,1,15,G1:에이지테크 | G2:AX | G3:실증 | G4:사업화,true
Q03,BIZINFO:PBLN_000000000118361,false,,false,,true,3,3,true,4,13,G1:유해물질 | G2:시험분석 | G3:수수료,true
Q03,BIZINFO:PBLN_000000000119093,false,,false,,false,,,true,8,9,G2:시험 | G3:비용,false
Q03,BIZINFO:PBLN_000000000119584,false,,false,,true,6,2,false,,,,false
Q03,BIZINFO:PBLN_000000000120123,false,,false,,false,,,true,7,9,G2:시험 | G3:비용,false
Q03,BIZINFO:PBLN_000000000120201,false,,false,,true,7,2,false,,,,false
Q03,BIZINFO:PBLN_000000000120340,false,,false,,true,2,3,true,3,13,G1:유해물질 | G2:시험분석 | G3:수수료,false
Q03,BIZINFO:PBLN_000000000120498,false,,false,,false,,,true,2,13,G1:유해물질 | G2:검사 | G3:비용,false
Q03,BIZINFO:PBLN_000000000121038,false,,false,,false,,,true,12,9,G2:시험 | G3:수수료,false
Q03,BIZINFO:PBLN_000000000121868,false,,false,,true,9,2,false,,,,false
Q03,BIZINFO:PBLN_000000000124122,false,,false,,false,,,true,6,9,G2:시험 | G3:비용,false
Q03,BIZINFO:PBLN_000000000124154,false,,false,,false,,,true,11,9,G2:분석 | G3:비용,false
Q03,BIZINFO:PBLN_000000000124676,false,,false,,false,,,true,9,9,G2:시험 | G3:비용,false
Q03,BIZINFO:PBLN_000000000124779,false,,false,,true,10,2,false,,,,false
Q03,BIZINFO:PBLN_000000000124926,false,,false,,true,5,2,false,,,,false
Q03,BIZINFO:PBLN_000000000125496,false,,false,,false,,,true,10,9,G2:시험 | G3:비용,false
Q03,BIZINFO:PBLN_000000000125704,false,,false,,true,8,2,false,,,,false
Q03,BIZINFO:PBLN_000000000125722,false,,false,,false,,,true,5,11,G2:시험 | G3:비용,false
Q03,BIZINFO:PBLN_000000000125878,false,,false,,true,4,2,false,,,,false
Q03,BIZINFO:PBLN_000000000126177,false,,false,,true,1,3,true,1,13,G1:유해물질 | G2:시험분석 | G3:수수료,true
Q04,BIZINFO:PBLN_000000000117139,false,,false,,false,,,false,,,,true
Q04,BIZINFO:PBLN_000000000117973,false,,false,,false,,,true,7,9,G1:번역 | G2:계약서,false
Q04,BIZINFO:PBLN_000000000118028,false,,false,,true,3,4,true,1,11,G1:통역 | G3:해외 바이어,false
Q04,BIZINFO:PBLN_000000000119409,false,,false,,false,,,true,6,9,G1:번역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000120033,false,,false,,false,,,true,5,9,G1:번역 | G2:계약서,false
Q04,BIZINFO:PBLN_000000000120959,false,,false,,true,5,4,true,2,11,G1:번역 | G2:계약서 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000121003,false,,false,,true,10,3,false,,,,false
Q04,BIZINFO:PBLN_000000000124716,false,,false,,false,,,true,4,9,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125180,false,,false,,false,,,true,20,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125189,false,,false,,true,4,4,true,11,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125618,false,,false,,false,,,true,12,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125676,false,,false,,true,6,4,true,15,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125714,false,,false,,true,8,4,true,16,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125721,false,,false,,false,,,true,13,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125829,false,,false,,false,,,true,17,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000125961,false,,false,,true,9,4,false,,,,false
Q04,BIZINFO:PBLN_000000000126008,false,,false,,false,,,true,18,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000126019,false,,false,,false,,,true,19,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000126055,false,,false,,true,2,4,true,3,9,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000126073,false,,false,,true,7,4,false,,,,false
Q04,BIZINFO:PBLN_000000000126103,false,,false,,false,,,true,14,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000126143,false,,false,,false,,,true,9,6,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000126175,false,,false,,true,1,5,true,8,8,G1:통역 | G3:바이어,false
Q04,BIZINFO:PBLN_000000000126189,false,,false,,false,,,true,10,6,G1:통역 | G3:바이어,false
Q05,BIZINFO:PBLN_000000000117081,false,,false,,true,1,3,true,1,13,G1:견본품 | G2:배송비 | G3:수출,true
Q05,BIZINFO:PBLN_000000000117240,false,,false,,false,,,true,4,11,G1:샘플 | G2:물류비 | G3:수출,false
Q05,BIZINFO:PBLN_000000000117502,false,,false,,false,,,true,15,9,G2:물류비 | G3:수출,false
Q05,BIZINFO:PBLN_000000000118804,false,,false,,false,,,true,3,11,G1:샘플 | G2:물류비 | G3:수출,false
Q05,BIZINFO:PBLN_000000000119436,false,,false,,false,,,true,16,9,G2:물류비 | G3:수출,false
Q05,BIZINFO:PBLN_000000000119589,false,,false,,false,,,true,9,9,G2:물류비 | G3:수출,false
Q05,BIZINFO:PBLN_000000000120185,false,,false,,false,,,true,19,9,G2:물류비 | G3:수출,false
Q05,BIZINFO:PBLN_000000000120474,false,,false,,true,7,1,false,,,,false
